Campaign_ID,Target_Audience,Duration,Channel_Used,Conversion_Rate,ROI,Clicks,Impressions,Date
153,Women 35-44,15 days,Instagram,0.09,3.46,334,5468,2021-06-02
154,All Ages,30 days,Instagram,0.15,8.0,1000,8276,2021-06-03
155,Women 35-44,30 days,Instagram,0.15,5.73,941,9094,2021-06-04
156,All Ages,15 days,Instagram,0.11,4.3,874,8327,2021-06-05
158,Men 18-24,60 days,Google Ads,0.12,7.24,488,4253,2021-06-07
160,Women 25-34,30 days,Instagram,0.13,7.46,514,7096,2021-06-09
162,Men 18-24,30 days,YouTube,0.04,3.38,110,6937,2021-06-11
163,Women 25-34,15 days,Google Ads,0.04,3.09,957,4396,2021-06-12
167,Men 18-24,15 days,Instagram,0.13,8.0,625,3957,2021-06-16
170,All Ages,30 days,Google Ads,0.07,5.41,797,1306,2021-06-19
172,Men 25-34,15 days,Google Ads,0.09,6.1,303,9453,2021-06-21
173,All Ages,15 days,YouTube,0.06,2.41,351,7064,2021-06-22
174,Men 25-34,45 days,Google Ads,0.15,6.9,801,8439,2021-06-23
175,Men 18-24,15 days,Instagram,0.15,6.88,567,7426,2021-06-24
177,Women 35-44,60 days,YouTube,0.04,3.88,560,7450,2021-06-26
178,All Ages,45 days,YouTube,0.05,2.46,614,10000,2021-06-27
180,Women 35-44,30 days,Google Ads,0.01,6.29,200,1513,2021-06-29
517,Men 18-24,15 days,YouTube,0.01,3.14,229,9648,2021-06-01
521,Women 35-44,60 days,Instagram,0.15,4.3,1000,5451,2021-06-05
522,Women 25-34,15 days,YouTube,0.01,3.74,170,10000,2021-06-06
524,Men 18-24,30 days,Instagram,0.14,8.0,1000,6872,2021-06-08
525,Women 35-44,30 days,YouTube,0.04,3.46,641,5552,2021-06-09
528,All Ages,60 days,Instagram,0.14,8.0,832,1087,2021-06-12
529,Men 18-24,45 days,Instagram,0.15,2.91,504,2562,2021-06-13
530,Men 18-24,60 days,Instagram,0.11,6.77,642,5086,2021-06-14
531,Women 35-44,45 days,Instagram,0.14,8.0,562,8098,2021-06-15
532,Men 18-24,15 days,YouTube,0.02,4.28,154,8477,2021-06-16
535,Men 18-24,45 days,Google Ads,0.07,3.28,421,9220,2021-06-19
536,Men 18-24,30 days,YouTube,0.02,3.91,504,1516,2021-06-20
538,All Ages,15 days,YouTube,0.01,3.63,378,1786,2021-06-22
539,Women 35-44,60 days,Google Ads,0.13,5.04,745,1803,2021-06-23
540,Men 25-34,15 days,Instagram,0.11,8.0,1000,1381,2021-06-24
541,Women 25-34,30 days,Google Ads,0.07,6.26,265,1716,2021-06-25
543,All Ages,60 days,YouTube,0.03,4.13,336,5423,2021-06-27
544,Men 25-34,30 days,Instagram,0.15,3.63,524,8736,2021-06-28
546,Men 18-24,15 days,YouTube,0.07,2.0,495,3918,2021-06-30
883,Women 35-44,15 days,Instagram,0.03,6.92,1000,5139,2021-06-02
884,Men 25-34,60 days,Google Ads,0.14,6.31,268,6734,2021-06-03
890,Women 25-34,45 days,YouTube,0.03,2.0,571,7964,2021-06-09
893,Men 18-24,60 days,Instagram,0.13,8.0,1000,1023,2021-06-12
895,Women 35-44,45 days,Google Ads,0.12,7.64,337,9213,2021-06-14
896,Men 18-24,30 days,Instagram,0.05,3.16,967,2712,2021-06-15
897,Men 18-24,30 days,Instagram,0.03,7.37,150,4671,2021-06-16
899,Men 18-24,60 days,Google Ads,0.03,6.59,541,1736,2021-06-18
901,Men 25-34,15 days,YouTube,0.02,3.51,604,2896,2021-06-20
902,Men 25-34,15 days,Google Ads,0.07,4.33,890,8521,2021-06-21
904,All Ages,60 days,Instagram,0.06,4.29,148,4759,2021-06-23
905,Men 18-24,60 days,YouTube,0.01,4.79,249,2228,2021-06-24
907,All Ages,15 days,Instagram,0.08,6.67,330,9284,2021-06-26
909,Men 25-34,45 days,Instagram,0.15,4.07,507,6104,2021-06-28
911,Men 25-34,15 days,Instagram,0.09,8.0,1000,7635,2021-06-30
1247,Women 35-44,45 days,Google Ads,0.06,2.58,330,8440,2021-06-01
1248,All Ages,30 days,Instagram,0.03,4.07,1000,8967,2021-06-02
1250,Men 18-24,60 days,Instagram,0.15,3.94,728,7771,2021-06-04
1251,Women 25-34,15 days,YouTube,0.02,4.02,159,3922,2021-06-05
1252,Women 35-44,30 days,Google Ads,0.03,6.12,851,5365,2021-06-06
1254,Men 25-34,15 days,Google Ads,0.08,4.27,965,6798,2021-06-08
1257,Women 35-44,15 days,YouTube,0.02,2.0,317,6712,2021-06-11
1259,Men 18-24,45 days,YouTube,0.05,4.45,593,9177,2021-06-13
1261,Women 25-34,30 days,YouTube,0.06,2.47,294,4436,2021-06-15
1263,Men 25-34,30 days,Google Ads,0.12,2.66,105,2234,2021-06-17
1264,All Ages,60 days,Google Ads,0.12,6.53,157,5905,2021-06-18
1266,Women 25-34,15 days,YouTube,0.06,3.14,643,5751,2021-06-20
1270,Women 35-44,30 days,Instagram,0.15,8.0,309,3544,2021-06-24
1272,All Ages,30 days,Google Ads,0.12,5.45,368,5530,2021-06-26
1276,Men 18-24,15 days,Google Ads,0.04,4.26,895,2185,2021-06-30
1615,Men 25-34,15 days,Google Ads,0.08,2.03,371,1409,2021-06-04
1616,Men 25-34,45 days,YouTube,0.06,2.0,293,10000,2021-06-05
1621,Men 18-24,15 days,Google Ads,0.06,6.41,830,7398,2021-06-10
1623,Men 18-24,45 days,YouTube,0.03,3.0,203,6613,2021-06-12
1625,Women 25-34,60 days,Instagram,0.15,6.19,982,3123,2021-06-14
1627,Women 35-44,15 days,Google Ads,0.12,6.99,407,8351,2021-06-16
1628,All Ages,60 days,YouTube,0.08,2.0,370,5490,2021-06-17
1629,Women 25-34,45 days,YouTube,0.02,3.4,457,10000,2021-06-18
1630,Men 25-34,15 days,Google Ads,0.08,2.42,872,6181,2021-06-19
1631,Men 18-24,45 days,YouTube,0.04,4.38,419,3196,2021-06-20
1632,Women 25-34,15 days,Google Ads,0.03,4.28,621,7281,2021-06-21
1634,Women 35-44,60 days,YouTube,0.01,4.31,648,1290,2021-06-23
1637,Women 35-44,60 days,Instagram,0.15,8.0,1000,1879,2021-06-26
1638,Women 25-34,30 days,Instagram,0.08,7.2,760,1624,2021-06-27
1639,Women 35-44,45 days,Instagram,0.13,3.64,810,2556,2021-06-28
1641,All Ages,60 days,YouTube,0.04,3.9,159,2914,2021-06-30
1977,Women 35-44,15 days,YouTube,0.04,2.88,525,9723,2021-06-01
